Title,Number of review,Category,Review Comment,Popular food,Online Order,length,word_count,sentiment_score,subjectivity_score,sentiment_class,sentiment_intensity,length_quartile,performance_category
Sea Fire Grill,1137,"American, Fast Food",“The lobster bisque was velvety and luscious.”,No,Yes,46,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Burger Burger,69,"Italian, Pizza",“Great burger & fries”,No,No,22,4,0.8,0.75,Positive,0.8,Short,"Stars (High Sentiment, High Volume)"
Serafina,357,"Japanese, Sushi",“Excellent pizza and decent wine list”,No,No,38,6,0.5833333333333334,0.8333333333333333,Positive,0.5833333333333334,Medium,"Stars (High Sentiment, High Volume)"
Sushi Seki Times Square,68,"Italian, Pizza","“Fantastic sushi in Manhattan, the best in...”",No,No,46,7,0.7,0.6,Positive,0.7,Long,"Stars (High Sentiment, High Volume)"
Famous Famiglia Pizza,127,"Japanese, Asian",“Good pizza”,No,No,12,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Stars (High Sentiment, High Volume)"
E.A.K. Ramen (NY),33,American,“Run don’t walk to some of the best ramen”,No,No,42,9,1.0,0.3,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Brickyard craft kitchen & beer,86,Italian,“Good honest pasta etc”,No,No,23,4,0.6499999999999999,0.75,Positive,0.6499999999999999,Short,"Stars (High Sentiment, High Volume)"
Gran Morsi,134,"Japanese, Sushi",“Comfort Sushi with Park Ave Ambiance”,No,No,38,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Sushi Ann,101,"Mexican, Latin","“... fish tacos, vegetarian enchiladas w...”",No,No,44,6,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Fonda Chelsea,93,"Mediterranean, Greek",“Practically perfect”,No,No,21,2,1.0,1.0,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Snack Taverna,291,"American, Bar",“Just drinks”,No,No,13,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
AOA Bar and Grill,44,"Asian, Chinese",“For a main course the sautéed green beans with pork and dried red chili was b...”,No,No,82,16,-0.05833333333333334,0.30833333333333335,Neutral,0.05833333333333334,Long,"Popular but Declining (Low Sentiment, High Volume)"
Little Alley,95,American,"“Great food, great prices, great people...”",No,No,43,6,0.8000000000000002,0.75,Positive,0.8000000000000002,Long,"Stars (High Sentiment, High Volume)"
Manna's Soul Food Restaurant,119,"Mexican, Latin",“Great margaritas and tacos!”,No,No,29,4,1.0,0.75,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Ofrenda,98,Italian,"“Fabulous, incredibly flavorful Italian”",No,No,40,4,0.43333333333333335,0.6333333333333333,Positive,0.43333333333333335,Medium,"Stars (High Sentiment, High Volume)"
Sandro's,35,"American, International",“Did the tasting menu.”,No,No,23,4,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Intersect by Lexus,92,"Pizza, Italian",“The debate perhaps ends here. The very...”,No,No,43,7,0.2,0.3,Positive,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Sal and Carmine Pizza,290,"Italian, Pizza",“Excellent Pizza”,No,No,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Swagat Indian Cuisine,121,Indian,“good samosa”,Salad,Yes,13,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Stars (High Sentiment, High Volume)"
Wildair,44,"Wine Bar, American","“... wings, and a salad, which were all ...”",Sushi,Yes,44,9,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Iridium Jazz Club,103,American,“Super fun experience”,Italian Dishes,Yes,22,3,0.31666666666666665,0.43333333333333335,Positive,0.31666666666666665,Short,"Stars (High Sentiment, High Volume)"
Hotel Chantelle,177,American,“Nice rooftop brunch spot”,Dumplings,Yes,26,4,0.6,1.0,Positive,0.6,Short,"Stars (High Sentiment, High Volume)"
Norikoh,71,"Japanese, Sushi",“... appetizers and sushi were delicious.”,Ribeye,Yes,42,6,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Lezzet Mediterranean Turkish Restaurant,17,"Mediterranean, Turkish",“Very Authentic & Delicious”,Fish Tacos,Yes,28,4,0.825,0.9875,Positive,0.825,Short,"Hidden Gems (High Sentiment, Low Volume)"
Joseph's Restaurant,67,Italian,"“Second visit as good as the first, with...”",Pizza,Yes,44,8,0.31666666666666665,0.3111111111111111,Positive,0.31666666666666665,Long,"Stars (High Sentiment, High Volume)"
Mezzaluna,99,"Italian, Pizza",“Best meal of my trip”,Sushi,Yes,22,5,1.0,0.3,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Cipriani Dolci,179,Italian,“Excellent cocktails”,No,Yes,21,2,1.0,1.0,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Anatolia Mediterranean Cuisine,82,"Mediterranean, Turkish",“Good mediterranean fare”,No,Yes,25,3,0.7,0.6000000000000001,Positive,0.7,Short,"Stars (High Sentiment, High Volume)"
Antica Ristorante,209,Italian,“... italian and is close to real italian dishes You can find italian wine and...”,No,Yes,82,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Hale & Hearty Soups - West 42nd St.,55,Soups,“Friendly. Good Food.”,No,Yes,22,3,0.5375,0.55,Positive,0.5375,Short,"Stars (High Sentiment, High Volume)"
Il Cafe Latte II,47,Cafe,“Great little breakfast place”,No,No,30,4,0.30625,0.625,Positive,0.30625,Medium,"Stars (High Sentiment, High Volume)"
Korzo,66,"Bar, European","“Delicious food and drink, great service!”",No,No,42,6,1.0,0.875,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
American Cut Steakhouse Midtown,118,Steakhouse,“American Cut”,No,No,14,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Calle Dao Chelsea,34,"Chinese, Cuban",“East Meets West”,No,No,17,3,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Shorty's Pearl Street,41,"American, Bar",“Decent cheesesteak”,No,No,20,2,0.16666666666666666,0.6666666666666666,Positive,0.16666666666666666,Short,"Popular but Declining (Low Sentiment, High Volume)"
The Black Ant,88,Mexican,"“... with chips, fish tacos and octopus.”",No,No,41,7,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Mulberry & Vine,47,"Chinese, Asian","“Great fresh food, extremely loud music”",No,No,40,6,0.4000000000000001,0.6833333333333332,Positive,0.4000000000000001,Medium,"Stars (High Sentiment, High Volume)"
Uncle Ted's Modern Chinese Cuisine,93,"Swedish, Scandinavian",“An honest decent place”,No,No,24,4,0.3833333333333333,0.7833333333333333,Positive,0.3833333333333333,Short,"Stars (High Sentiment, High Volume)"
Smorgas Chef at Scandinavia House,126,"Chinese, Asian",“For something a bit different”,No,No,31,5,0.0,0.6,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Tangy Noodle,3,Pub,“Great quality for the price!”,No,No,30,5,1.0,0.75,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Copper Johns Pub & Kitchen,23,"American, Bar",“Great little Bar”,No,No,18,3,0.30625,0.625,Positive,0.30625,Short,"Hidden Gems (High Sentiment, Low Volume)"
The Regency Bar & Grill,165,"Japanese, Sushi","“Good Food, Neighborly Feel”",No,No,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Stars (High Sentiment, High Volume)"
Tsushima,112,"American, Bar",“Japanese lunch”,No,No,16,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
The Beekman Pub,128,"Bar, American",“The Beekman Pub now closed.”,No,No,29,5,-0.1,0.1,Neutral,0.1,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Punch,89,"American, Pizza",“Nice lunch spot”,No,No,17,3,0.6,1.0,Positive,0.6,Very Short,"Stars (High Sentiment, High Volume)"
The Marshal,323,"Japanese, Sushi",“Quite possibly the best Pizza I ever ate!”,No,No,43,8,0.5,0.65,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Tanoshi Sushi Sake Bar,73,Fast Food,“High quality take out sushi and classic...”,No,No,44,7,0.16333333333333333,0.35333333333333333,Positive,0.16333333333333333,Long,"Popular but Declining (Low Sentiment, High Volume)"
sweetgreen,40,Italian,“Excellent salads but so crowded”,No,No,33,5,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Valbella Midtown,72,"American, Bar",“Food was amazing!”,No,No,19,3,0.7500000000000001,0.9,Positive,0.7500000000000001,Short,"Stars (High Sentiment, High Volume)"
The Empire Rooftop,380,"American, Seafood",“Dinner with an exceptional view”,No,No,33,5,0.6666666666666666,1.0,Positive,0.6666666666666666,Medium,"Stars (High Sentiment, High Volume)"
The Shadmoor,62,Italian,"“Not great service, but good food and...”",No,No,41,7,0.14999999999999997,0.675,Positive,0.14999999999999997,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Wok Wok Southeast Asian Kitchen,56,"Thai, Singaporean",“It's not easy to find Asian food so well prepared.”,Asian Food,Yes,52,10,-0.10833333333333334,0.4166666666666667,Negative,0.10833333333333334,Long,"Popular but Declining (Low Sentiment, High Volume)"
noodle village,115,"Chinese, Asian","“Wonderful dishes, superb noodles”",Noodles,Yes,34,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Hao Noodle,72,"Chinese, Asian","“Excellent food, service a little...”",Sushi,Yes,37,5,0.40625,0.75,Positive,0.40625,Medium,"Stars (High Sentiment, High Volume)"
Sushi Seki,42,"Japanese, Sushi",“Good sushi”,Pasta,Yes,12,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Stars (High Sentiment, High Volume)"
Trattoria Casa di Isacco,332,Italian,“The pasta is all home made and they’ve been their for 30 years no wonder in w...”,Ribeye,Yes,82,17,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Benjamin Steakhouse,2490,"Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",Great Indian Food,Yes,82,13,0.925,1.0,Positive,0.925,Long,"Stars (High Sentiment, High Volume)"
Maggie's Place,165,"Irish, Bar",“Magical”,Burger,Yes,9,1,0.5,1.0,Positive,0.5,Very Short,"Stars (High Sentiment, High Volume)"
Kurant,48,"American, Bar","“Wonderful staff, cute spot”",Hummus,Yes,28,4,0.75,1.0,Positive,0.75,Short,"Stars (High Sentiment, High Volume)"
Darbar Grill,149,"Grill, Indian",“Great Indian Food”,Steak,Yes,19,3,0.8,0.75,Positive,0.8,Short,"Stars (High Sentiment, High Volume)"
Five Guys,75,"American, Fast Food",“Best Burger Chain”,Escargot,Yes,19,3,1.0,0.3,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Agora Turkish Restaurant,68,"Mediterranean, Turkish",“App sampler (babaganoush/hummus/eggplant/spinach) was really good.”,Carbonara,Yes,68,6,0.7,0.6000000000000001,Positive,0.7,Long,"Stars (High Sentiment, High Volume)"
Tangy Noodle,3,"Chinese, Asian",“Great quality for the price!”,Crab Cakes,Yes,30,5,1.0,0.75,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Pho Bang Restaurant,84,"Asian, Vietnamese",“Very good experience”,No,Yes,22,3,0.9099999999999999,0.7800000000000001,Positive,0.9099999999999999,Short,"Stars (High Sentiment, High Volume)"
Takahachi Tribeca Restaurant,60,"Japanese, Sushi",“Excellent Japanese small restaurant.”,No,Yes,38,4,0.25,0.4666666666666666,Positive,0.25,Medium,"Popular but Declining (Low Sentiment, High Volume)"
5 Napkin Burger,127,"American, Bar",“Great service and excellent”,No,Yes,29,4,0.9,0.875,Positive,0.9,Medium,"Stars (High Sentiment, High Volume)"
Georgio's Pizzeria,55,"Pizza, Italian",“After Statue of Liberty or Wall St...”,No,Yes,39,7,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Momoya,103,"Japanese, Sushi",“Good for both dining in and”,No,Yes,29,6,0.7,0.6000000000000001,Positive,0.7,Medium,"Stars (High Sentiment, High Volume)"
Sel et Poivre,144,"French, European",“We started with French Onion Soup and Escargot- both delicious!!! My husband...”,No,No,81,12,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Lenox Saphire,98,American,“Pleasant Surprise!”,No,No,20,2,0.9166666666666667,0.9666666666666667,Positive,0.9166666666666667,Short,"Stars (High Sentiment, High Volume)"
The Writing Room,142,"Bar, British",“Great boozy brunch! You can”,No,No,29,5,1.0,0.75,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Jones Wood Foundry,123,"American, Irish",“Cute neighborhood spot”,No,No,24,3,0.5,1.0,Positive,0.5,Short,"Stars (High Sentiment, High Volume)"
Niall's on 52nd,99,"Italian, Romana",“Great spot for a drink and late night food”,No,No,44,9,0.25,0.675,Positive,0.25,Long,"Popular but Declining (Low Sentiment, High Volume)"
Lupa Osteria Romana,983,"Italian, Pizza","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",No,No,82,13,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Mani in Pasta,29,American,“Delicious”,No,No,11,1,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
The Brindle Room,170,"American, Fast Food",“Nice wine”,No,No,11,2,0.6,1.0,Positive,0.6,Very Short,"Stars (High Sentiment, High Volume)"
Subway,213,"Italian, Pizza",“simple but fast”,No,No,17,3,0.1,0.47857142857142854,Neutral,0.1,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Empire Pizza,126,"Italian, Pizza",“Delicious slices”,No,No,18,2,1.0,1.0,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Prova Pizzabar,78,"Seafood, Soups",“Little Gem”,No,No,12,2,-0.1875,0.5,Negative,0.1875,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Benjamin Steakhouse Prime,309,"Italian, European","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Barbaresco,158,"Latin, Spanish",“Favorite Upper East Side Italian!”,No,No,35,5,0.16666666666666666,0.3333333333333333,Positive,0.16666666666666666,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Oficina Latina,111,American,“Happy Hour”,No,No,12,2,0.8,1.0,Positive,0.8,Very Short,"Stars (High Sentiment, High Volume)"
ESSEN Fast Slow Food,75,"American, Cafe",“Vast selection of options”,No,No,27,4,0.0,1.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Indie Food & Wine,76,"American, Bar",“Great quick bite”,No,No,18,3,0.5666666666666667,0.625,Positive,0.5666666666666667,Short,"Stars (High Sentiment, High Volume)"
Bin 71,43,"Chinese, Steakhouse",“Great place”,No,No,13,2,0.8,0.75,Positive,0.8,Very Short,"Stars (High Sentiment, High Volume)"
Miss Mamie's Spoonbread Too,102,"American, Caribbean",“Southern classics”,Pasta,Yes,19,2,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Serafina,78,"Italian, Pizza",“I’m giving this pasta all the credit for PR-ing the marathon by over 10 min.”,Ribs,Yes,78,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Pil Pil,64,"Spanish, Wine Bar",“Go for a taste of Spain!”,Lobster,Yes,26,6,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
ROSSOPOMODORO West Village,99,"Italian, Pizza",“Casual. Friendly. Good food. A bit pricy...”,Chili,Yes,45,7,0.19166666666666665,0.6555555555555556,Positive,0.19166666666666665,Long,"Popular but Declining (Low Sentiment, High Volume)"
Manero's of Mulberry,22,"Italian, Pizza",“Best in slice in the city”,Fries,Yes,27,6,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Land of Plenty,105,"Chinese, Asian","“... as well as two kinds of ribs (one incredibly spicy and delicious), chicke...”",Noodle Soup,Yes,82,14,0.95,0.95,Positive,0.95,Long,"Stars (High Sentiment, High Volume)"
Perfect Picnic,49,"Italian, American",“Perfect Picnic did a wonderful job...”,Steak & Frites,Yes,39,6,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Le Pain Quotidien,106,"European, Cafe",“Healthy options”,Tuna,Yes,17,2,0.5,0.5,Positive,0.5,Very Short,"Stars (High Sentiment, High Volume)"
Gari of Columbus,113,"Japanese, Sushi","“Packed with American customers, but food...”",Tasty Pizza,Yes,45,6,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Max Soha,87,Italian,“An oasis of hospitality and good food and...”,An Italian Restaurant,Yes,46,8,0.7,0.6000000000000001,Positive,0.7,Long,"Stars (High Sentiment, High Volume)"
Shabu-Tatsu,74,"Japanese, Asian",“NYC’s best sukiyaki”,No,Yes,21,3,1.0,0.3,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Island,146,"Contemporary, American","“Lobster roll was excellent, as were the...”",No,Yes,44,7,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Little Alley,44,"Asian, Chinese",“For a main course the sautéed green beans with pork and dried red chili was b...”,No,Yes,82,16,-0.05833333333333334,0.30833333333333335,Neutral,0.05833333333333334,Long,"Popular but Declining (Low Sentiment, High Volume)"
The Pool,70,"American, Seafood",“Cant wait to go back!”,No,Yes,23,5,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Red Lion,153,"American, Bar",“Good live music”,No,Yes,17,3,0.41818181818181815,0.55,Positive,0.41818181818181815,Very Short,"Stars (High Sentiment, High Volume)"
The Vine NYC,124,"American, Bar",“Food could take time to get to you”,No,Yes,36,8,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Hector's Cafe & Diner,41,"Diner, American",“... eggs and home fries being sizzled o...”,No,Yes,44,8,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
The Parlour - Intercontinental New York,90,Bar,“Service can be hit or miss”,No,Yes,28,6,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Lan Zhou Handmade Noodle,83,"Asian, Chinese",“Wonderful noodle soup on a cool night but the waiter did not listen to the order”,No,Yes,82,16,0.675,0.825,Positive,0.675,Long,"Stars (High Sentiment, High Volume)"
David's Cafe,63,"French, American",“GREAT PLACE FOR WEEKEND BRUNCH”,No,No,32,5,0.8,0.75,Positive,0.8,Medium,"Stars (High Sentiment, High Volume)"
Lucien Restaurant,192,"French, European","“The entrees included steak & frites, squab, and the short ribs.”",No,No,65,11,0.0,0.3,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Oak Tuscan Truffle Lounge,20,Italian,“The only truffle place in the east cost i...”,No,No,46,9,0.0,1.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Pondicheri,88,Indian,“Tasty food”,No,No,12,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Riko Peruvian Cuisine,92,"Seafood, Peruvian",“Muy Bien”,No,No,10,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
El Mitote,101,"Mexican, Latin",“Quick and kind service”,No,No,24,4,0.4666666666666667,0.7,Positive,0.4666666666666667,Short,"Stars (High Sentiment, High Volume)"
Bouley at Home,95,"French, International",“Wonderful lunch”,No,No,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Bar Masa,99,"Japanese, Sushi",“... excellent tuna that we had to order...”,No,No,44,8,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Savann Restaurant,55,"Mediterranean, Turkish",“An unexpected find.”,No,No,21,3,0.1,1.0,Neutral,0.1,Short,"Popular but Declining (Low Sentiment, High Volume)"
Pizza by Cer te,48,"Pizza, Italian",“Great Pizza - No Mistake”,No,No,26,5,0.8,0.75,Positive,0.8,Short,"Stars (High Sentiment, High Volume)"
Yakitori Taisho,164,"Japanese, Asian",“Authenticity!”,No,No,15,1,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Upside Pizza,47,"Pizza, Italian","“Friendly Staff, and Tasty Pizza”",No,No,33,5,0.375,0.5,Positive,0.375,Medium,"Stars (High Sentiment, High Volume)"
Peter McManus Cafe,51,"Bar, Pub",“Very good”,No,No,11,2,0.9099999999999999,0.7800000000000001,Positive,0.9099999999999999,Very Short,"Stars (High Sentiment, High Volume)"
Estancia 460,56,"Argentinean, South American",“Good Food and Service with a Varied Menu”,No,No,42,8,0.7,0.6000000000000001,Positive,0.7,Medium,"Stars (High Sentiment, High Volume)"
Rico Bagel,3,"American, Cafe",“One of the best bagels in the city!”,Bagels,Yes,37,8,1.0,0.3,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Wei West,76,"Chinese, Sushi",“Nice food and and simple environment.”,Tuna,Yes,39,6,0.3,0.6785714285714286,Positive,0.3,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Modern Bread And Bagel,52,"Healthy, Cafe",“Great Place! Would Recommend. If you're...”,Fries,Yes,44,6,1.0,0.75,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Cafetal Social Club,54,"Italian, Pizza",“Classic Little Italy Cafe”,Tuna,Yes,27,4,-0.010416666666666671,0.3333333333333333,Neutral,0.010416666666666671,Short,"Popular but Declining (Low Sentiment, High Volume)"
Porto-bello Restaurant,90,Italian,“Charming Italian spot in Greenwich Village”,Naan,Yes,44,6,0.35,0.5,Positive,0.35,Long,"Stars (High Sentiment, High Volume)"
Vanguard Wine Bar,42,Wine Bar,“Nice wine Bar - they seem to have a few !”,Breakfast And Lunch,Yes,43,11,0.175,0.55,Positive,0.175,Long,"Popular but Declining (Low Sentiment, High Volume)"
Vestry,24,"American, Bar",“The tuna toast !”,Dumplings,Yes,18,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Stitch Bar & Blues,66,"Italian, Pizza","“... had the chicken wrap, also delicious with a generous amount of crisp fries.”",Vegetarian,Yes,81,14,0.21666666666666667,0.7888888888888889,Positive,0.21666666666666667,Long,"Popular but Declining (Low Sentiment, High Volume)"
Angelo's on 55th Street,104,"Cafe, Fast Food",“Delicious!”,Sushi,Yes,12,1,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Pret A Manger,75,Seafood,"“It's a Pret, so you get the usual quick...”",Sashimi,Yes,44,9,0.04166666666666666,0.375,Neutral,0.04166666666666666,Long,"Popular but Declining (Low Sentiment, High Volume)"
Queensyard,118,"American, Steakhouse","“Great brunch, atmosphere, view and service”",Seafood Paella,Yes,44,6,0.8,0.75,Positive,0.8,Long,"Stars (High Sentiment, High Volume)"
The Chef's Table at Brooklyn Fare,89,"Indian, Asian",“The only true three Michelin star...”,Pizza,Yes,38,6,0.175,0.825,Positive,0.175,Medium,"Popular but Declining (Low Sentiment, High Volume)"
David Burke Tavern,114,American,“Highlights were the tuna tartare appetizer and the salmon entree.”,Panzerotti,Yes,67,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Chote Nawab,123,American,"“We ordered paneer malai marke, fried rice, hakka noodle's, onion chili naan (...”",Great Bar,Yes,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
The Terrace,123,"American, Cafe",“Nice area for al fresco drinks”,Sushi,Yes,32,6,0.6,1.0,Positive,0.6,Medium,"Stars (High Sentiment, High Volume)"
Atrio Wine Bar & Restaurant,169,"Japanese, Sushi",“Great breakfast and Lunch Venue”,No,Yes,33,5,0.8,0.75,Positive,0.8,Medium,"Stars (High Sentiment, High Volume)"
Good Thanks Cafe,26,"Asian, Chinese",“Good stay”,No,Yes,11,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Hidden Gems (High Sentiment, Low Volume)"
Marumi,76,Italian,“Marumi for Great Japanese Food”,No,Yes,32,5,0.4,0.375,Positive,0.4,Medium,"Stars (High Sentiment, High Volume)"
Little Alley,44,"Cafe, Fast Food",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,Yes,82,11,-0.3,0.9,Negative,0.3,Long,"Popular but Declining (Low Sentiment, High Volume)"
Amata,56,"Japanese, Asian",“Wonderful and Cozy Midtown-East Italian...”,No,Yes,44,5,0.26666666666666666,0.5833333333333334,Positive,0.26666666666666666,Long,"Popular but Declining (Low Sentiment, High Volume)"
Cafe Olympia,123,"Japanese, Sushi",“Came across quite by chance with hunger...”,No,Yes,44,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Ivan Ramen Slurp Shop,173,"American, Bar",“Good Ramen”,No,No,12,2,0.7,0.6000000000000001,Positive,0.7,Very Short,"Stars (High Sentiment, High Volume)"
Tenzan,85,Indian,“Asian Food in remodeled venue”,No,No,31,5,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
FOUR @ YOTEL New York,99,"Italian, Pizza","“Very comfy bed, great staff”",No,No,29,5,0.5,0.525,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Saar Indian Bistro,98,"Japanese, Sushi",“We had a party of four and ordered three entrees to share and one vegetarian...”,No,No,81,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Rao's Restaurant,89,"Japanese, Sushi",“Blown Away”,No,No,12,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Hasaki,85,"Japanese, Sushi","“We enjoyed very much the large sushi Omakase, the tuna special (5 different t...”",No,No,82,14,0.2662857142857143,0.512,Positive,0.2662857142857143,Long,"Popular but Declining (Low Sentiment, High Volume)"
Tenzan,139,"Barbecue, Asian","“We had goyza with a delicious dipping sauce, then a mixed plate of sashimi an...”",No,No,82,15,0.5,0.625,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Ageha Sushi,92,"Seafood, Mediterranean","“Good rolls, reasonably priced”",No,No,31,4,0.44999999999999996,0.6000000000000001,Positive,0.44999999999999996,Medium,"Stars (High Sentiment, High Volume)"
Gunbae Tribeca,45,"Pizza, Italian",“What a party. Best Korean BBQ”,No,No,31,6,1.0,0.3,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Socarrat Paella Bar - Chelsea,225,Italian,“We took the combined poultry and seafood paella and started with some appetiz...”,No,No,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Vito's Slices & Ices,28,"American, Fast Food",“Best Gluten Free Pizza!”,No,No,25,4,0.75,0.55,Positive,0.75,Short,"Stars (High Sentiment, High Volume)"
I Love Panzerotti,25,"American, Bar","“I am now addicted to the panzerotti, I am going every weekend and I am bringi...”",No,No,82,16,-0.4,0.6,Negative,0.4,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Gray's Papaya,91,"Bar, International",“This Place Changed My Outlook Towards...”,No,No,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
The Press Box,99,"Japanese, Seafood",“Nice bar restaurant”,No,No,21,3,0.6,1.0,Positive,0.6,Short,"Stars (High Sentiment, High Volume)"
